CustomerID,Gender,Annual Income (k$),Birthday,spending_alcohol,spending_food,spending_sale,Active
1,Male,15.0,2003-04-17,15.936133304471374,5.6265790163128,17.437287679215828,True
2,Male,15.0,2001-06-10,12.6306839048568,45.30324345190428,23.06607264323893,True
3,Female,16.0,2002-01-08,1.9378823699881256,4.020883196634185,0.04123443337768954,True
4,Female,16.0,1999-02-25,18.42513029867668,38.108239426644836,20.46663027467848,True
5,Female,17.0,1991-04-05,4.247270203730553,19.936636939340353,15.816092856929094,True
6,Female,17.0,2000-07-25,31.234258029344453,23.79194894079073,20.973793029864815,True
7,Female,18.0,1987-04-02,0.10886634518777448,0.6367198820337084,5.254413772778517,True
8,Female,18.0,1999-06-15,45.72318199227399,4.761050632533395,43.51576737519261,True
9,Male,19.0,1958-03-21,1.1501760490615038,0.9778112342127319,0.8720127167257641,True
10,Female,19.0,1992-04-09,19.734997719946875,26.71232195982783,25.552680320225292,True
11,Male,19.0,1955-05-11,5.515830153364326,2.4364065159950528,6.047763330640622,True
12,Female,19.0,1987-02-25,52.91429472430951,0.9216196790252433,45.16408559666524,True
13,Female,20.0,1964-01-12,6.677632715196406,4.9281028047883275,3.394264480015266,True
14,Female,20.0,1998-09-05,7.546071308181176,51.186760698690385,18.267167993128435,True
15,Male,20.0,1985-03-08,8.067796377693735,0.11912573829186746,4.813077884014397,True
16,Male,20.0,2000-07-20,30.05599036683318,4.136240192745224,44.80776944042159,True
17,Female,21.0,1987-02-01,11.60055172482729,22.98868573785496,0.4107625373177468,True
18,Male,21.0,2002-07-24,22.462537643778678,24.895130598660355,18.642331757560967,True
19,Male,23.0,1970-06-25,23.574142749929745,4.415984593127921,1.0098726569423317,True
20,Female,23.0,1987-06-03,52.950821834262086,30.125612378302716,14.92356578743518,True
21,Male,24.0,1987-06-08,13.461254454496018,16.72324186022733,4.815503685276649,True
22,Male,24.0,1997-03-06,30.8097009311673,11.453758610543114,30.736540458289596,True
23,Female,25.0,1976-01-14,1.7255352915249844,1.6873689142608184,1.5870957942141972,True
24,Male,25.0,1991-11-11,15.905532253861198,19.40410408655293,37.69036365958587,True
25,Female,28.0,1968-04-03,5.46542115068795,2.677111317290972,5.857467532021078,True
26,Male,28.0,1993-07-18,2.6919520914959407,43.20827666620465,36.09977124229941,True
27,Female,28.0,1977-01-10,11.054533478905478,5.466074131246733,15.479392389847785,True
28,Male,28.0,1987-05-28,1.4731791361004458,26.449871550690705,33.07694931320884,True
29,Female,29.0,1982-08-28,24.985570694924725,2.5687330521091014,3.445696252966176,True
30,Female,29.0,1999-04-08,56.64101435709355,6.119458331488805,24.239527311417636,True
31,Male,30.0,1962-08-02,1.2963674685091244,1.3144979353379243,1.3891345961529509,True
32,Female,30.0,2001-07-15,16.92681842035823,21.12206493599135,34.95111664365042,True
33,Male,33.0,1969-09-24,0.544079928160456,0.8720952649876573,2.5838248068518865,True
34,Male,33.0,2004-03-17,37.82302085557458,29.797177036258695,24.379802108166725,True
35,Female,33.0,1973-09-21,6.881103542567454,4.376490399666677,2.7424060577658684,True
36,Female,33.0,2001-06-27,19.293116231912375,16.591062691452358,45.115821076635264,True
37,Female,34.0,1980-04-22,4.650701435728845,3.9850056295335112,8.364292934737644,True
38,Female,34.0,1992-01-19,21.722154000556802,36.18386678519367,15.09397921424953,True
39,Female,37.0,1986-04-16,2.4206213573672115,13.476224468251692,10.103154174381098,True
40,Female,37.0,2002-04-22,29.289870149100846,38.5848874240647,7.125242426834454,True
41,Female,38.0,1957-06-21,0.9394030096319015,20.17837191448127,13.882225075886828,True
42,Male,38.0,1998-04-09,12.57631659411463,32.525871205305194,46.89781220058017,True
43,Male,39.0,1974-09-14,0.43002388477115,6.809014903531043,28.760961211697808,True
44,Female,39.0,1991-02-14,15.278238515608935,13.453569031298642,32.268192453092425,True
45,Female,39.0,1973-04-12,7.9669020237359724,5.784700887183911,14.248397089080115,True
46,Female,39.0,1998-04-24,46.242366134144476,7.476226324452611,11.28140754140291,True
47,Female,40.0,1972-01-02,17.636134559234314,27.179334936482554,10.184530504283133,True
48,Female,40.0,1995-11-07,3.554137473471537,9.430610564882969,34.01525196164549,True
49,Female,40.0,1993-09-24,20.053074456438907,17.78175953077547,4.165166012785626,True
50,Female,40.0,1991-02-18,13.000752314633791,8.446115476005254,20.553132209360953,True
51,Female,42.0,1973-08-23,8.798073391873803,18.212343322628396,24.9895832854978,True
52,Male,42.0,1989-05-09,3.042516627511691,55.65638065033083,1.3011027221574758,True
53,Female,43.0,1991-10-22,12.249939623001211,8.975416453119893,32.7746439238789,True
54,Male,43.0,1963-07-02,5.830060378134604,32.57790392427859,21.592035697586805,True
55,Female,43.0,1972-06-09,17.56320369114796,20.851535857366095,6.585260451485945,True
56,Male,43.0,1975-06-05,22.908212629947837,6.770319994631735,11.321467375420427,True
57,Female,44.0,1971-06-03,10.401817123773132,13.057919767865783,26.540263108361085,True
58,Male,44.0,1953-11-22,6.751742046058242,16.66436017508147,22.583897778860287,True
59,Female,46.0,1995-03-02,25.275430457256892,21.566114320327145,4.158455222415966,True
60,Male,46.0,1969-03-26,13.975566467310655,10.41132237473013,21.613111157959217,True
61,Male,46.0,1952-11-28,24.561322941944603,19.39356456752172,12.045112490533675,True
62,Male,46.0,2003-04-15,17.09278304662067,0.07775761978221066,37.829459333597114,True
63,Female,47.0,1955-05-25,13.066672283095684,13.284204421748786,25.649123295155526,True
64,Female,47.0,1968-08-07,10.859465118222293,17.580926517560854,30.559608364216857,True
65,Male,48.0,1959-03-14,23.994220056205855,8.06834357780342,18.937436365990724,True
66,Male,48.0,2004-07-06,12.542949919249155,21.187665439385885,25.269384641364958,True
67,Female,48.0,1979-02-18,18.20463658793044,23.007252399815165,8.788111012254396,True
68,Female,48.0,1954-03-03,31.010223197390594,7.665691759925716,9.324085042683688,True
69,Male,48.0,2003-02-28,13.771553145478098,41.50021945780118,3.7282273967207247,True
70,Female,48.0,1990-07-11,26.545238847105153,9.454575973270986,11.000185179623864,True
71,Male,49.0,1952-07-08,13.061068685566042,26.09450022781518,15.844431086618773,True
72,Female,49.0,1975-03-14,24.262567346980454,7.8326313733958735,9.904801279623674,True
73,Female,50.0,1962-01-09,7.301878398978957,3.497719499886312,38.200402101134735,True
74,Female,50.0,1962-04-17,19.131263915616177,14.172080891757297,22.696655192626526,True
75,Male,54.0,1963-08-01,0.4257548134374105,17.340929132669277,29.23331605389331,True
76,Male,54.0,1996-09-13,13.869585161185256,23.29025730736113,16.840157531453617,True
77,Female,54.0,1977-07-01,4.7378710812166585,8.824435082023385,39.43769383675996,True
78,Male,54.0,1982-02-22,23.39572862087588,5.345497440413746,19.258773938710377,True
79,Female,54.0,1999-06-26,5.517561482281096,31.28867152770276,15.193766990016146,True
80,Female,54.0,1973-08-11,13.293853327191352,14.520134286540706,14.186012386267944,True
81,Male,54.0,1965-04-26,6.348184956027469,34.30806666497736,10.343748378995167,True
82,Male,54.0,1984-07-11,4.496456049690185,22.601516369692312,27.902027580617506,True
83,Male,54.0,1955-01-07,13.647088993772162,16.07909076265534,11.273820243572501,True
84,Female,54.0,1976-02-21,22.03042459112599,3.1381250901854307,18.83145031868859,True
85,Female,54.0,2001-01-19,3.1154708302404677,26.83094212730803,27.0535870424515,True
